imageName,arucoAvailable,realT,realR,otherInfo,method,detectedT,detectedR
46.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.9951305755891982, 0.09856539721175624], [-0.0, -0.09856539721175624, 0.9951305755891982]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.935151580638497e-05, -6.736509477241591e-05, 0.125393745806016]","[-0.10165309281609572, -5.005395222817743e-05, -2.7932684011753023e-05]"
47.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.997514611110856, 0.07045992208594715], [-0.0, -0.07045992208594715, 0.997514611110856]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.946671890947064e-05, -0.0001364721233307073, 0.12534417117698463]","[-0.07578179625354574, -2.6890559326750695e-05, -2.0934561481797922e-05]"
48.png,True,"[0.0, 0.0, 0.1]","[[1.0000000000000002, -0.0, 0.0], [0.0, 0.9991050226538719, 0.042298388950483046], [-0.0, -0.042298388950483046, 0.9991050226538719]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.955631009999663e-05, -6.489647871798727e-05, 0.12526558038846483]","[-0.0498612908875055, -4.768315778664726e-06, -1.3828810357436153e-05]"
49.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.9999005448846631, 0.014103203159353431], [-0.0, -0.014103203159353431, 0.9999005448846631]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.960989753445557e-05, -6.899056993291147e-05, 0.12531425033434285]","[-0.025222337997613826, -1.2192645225924622e-06, -7.0036107814144915e-06]"
50.png,True,"[0.0, 0.0, 0.1]","[[1.0, 0.0, 0.0], [0.0, 0.9999005448846631, -0.014103203159353431], [0.0, 0.014103203159353431, 0.9999005448846631]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.961085399616097e-05, -7.017521815472676e-05, 0.12531599000374355]","[0.025235320004670915, -1.2206476779716311e-06, 7.006486107504553e-06]"
51.png,True,"[0.0, 0.0, 0.1]","[[1.0000000000000002, 0.0, 0.0], [0.0, 0.9991050226538719, -0.042298388950483046], [0.0, 0.042298388950483046, 0.9991050226538719]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.95580943108426e-05, -7.401402844450353e-05, 0.12526892726742772]","[0.04991021151346827, -4.778726538959574e-06, 1.383949715075199e-05]"
52.png,True,"[0.0, 0.0, 0.1]","[[1.0, 0.0, 0.0], [0.0, 0.997514611110856, -0.07045992208594715], [0.0, 0.07045992208594715, 0.997514611110856]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.946924373593489e-05, -2.3470756196174037e-06, 0.1253491399199591]","[0.07586162479429802, -2.6926080384790434e-05, 2.0941114306907457e-05]"
53.png,True,"[0.0, 0.0, 0.1]","[[1.0, 0.0, 0.0], [0.0, 0.9951305755891982, -0.09856539721175624], [0.0, 0.09856539721175624, 0.9951305755891982]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.935456780152992e-05, -7.123483196959516e-05, 0.12540016148950472]","[0.10178238187501443, -5.013214445747802e-05, 2.7939290614360008e-05]"
54.png,True,"[0.0, 0.0, 0.1]","[[1.0000000000000002, 0.0, 0.0], [0.0, 0.9919548128307955, -0.12659245357374915], [0.0, 0.12659245357374915, 0.9919548128307955]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.921905010708079e-05, -9.32484899478129e-05, 0.12527382629616537]","[0.12352451474491191, -5.8849806218201627e-05, 3.379401918001516e-05]"
55.png,True,"[0.0, 0.0, 0.1]","[[1.0, 0.0, 0.0], [0.0, 0.9879898494768089, -0.1545187928078404], [0.0, 0.1545187928078404, 0.9879898494768089]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.905895091789777e-05, -8.636237040343764e-05, 0.12541074846004632]","[0.15131738159753577, -9.795361448932196e-05, 4.105816538734045e-05]"
