imageName,arucoAvailable,realT,realR,otherInfo,method,detectedT,detectedR,isSuccess,errorT,errorR
292.png,True,"[0.0, 0.0, np.float64(4.653535353535354)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,[],[],True,-1.0,-1.0
293.png,True,"[0.0, 0.0, np.float64(4.703030303030303)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,[],[],True,-1.0,-1.0
294.png,True,"[0.0, 0.0, np.float64(4.752525252525253)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,[],[],True,-1.0,-1.0
295.png,True,"[0.0, 0.0, np.float64(4.802020202020202)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,[],[],True,-1.0,-1.0
296.png,True,"[0.0, 0.0, np.float64(4.851515151515152)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,[],[],True,-1.0,-1.0
297.png,True,"[0.0, 0.0, np.float64(4.901010101010101)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,[],[],True,-1.0,-1.0
298.png,True,"[0.0, 0.0, np.float64(4.9505050505050505)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,[],[],True,-1.0,-1.0
299.png,True,"[0.0, 0.0, np.float64(5.0)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,[],[],True,-1.0,-1.0
300.png,True,"[0.0, np.float64(-0.5), 1]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,[],[],True,-1.0,-1.0
301.png,True,"[0.0, np.float64(-0.4898989898989899), 1]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,[],[],True,-1.0,-1.0
302.png,True,"[0.0, np.float64(-0.4797979797979798), 1]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,[],[],True,-1.0,-1.0
303.png,True,"[0.0, np.float64(-0.4696969696969697), 1]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,[],[],True,-1.0,-1.0
304.png,True,"[0.0, np.float64(-0.4595959595959596), 1]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,[],[],True,-1.0,-1.0
305.png,True,"[0.0, np.float64(-0.4494949494949495), 1]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,[],[],True,-1.0,-1.0
306.png,True,"[0.0, np.float64(-0.4393939393939394), 1]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,[],[],True,-1.0,-1.0
307.png,True,"[0.0, np.float64(-0.4292929292929293), 1]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,[],[],True,-1.0,-1.0
